name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
YaleEnviroSustSummit,YESS_2015,2829823953,false,2014-10-14 12:48:38,"The official Twitter account of the Yale Environmental Sustainability Summit, taking place at @YaleFES and @YaleSOM on Nov. 6-7th, 2015. #YESS_2015",930,379,368,94,"New Haven, CT",61,https://pbs.twimg.com/profile_banners/2829823953/1413307741,https://www.twitter.com/YESS_2015,https://pbs.twimg.com/profile_images/595022471792820225/Gm0_5jPa_normal.jpg,false,false
Yale Young African Scholars,YaleYoungAfrica,2471170057,false,2014-04-30 11:37:29,"YYAS is a transformative academic enrichment and leadership program for secondary school students from across the African continent 🌍🎓

Apply Now!",575,2287,673,272,,202,https://pbs.twimg.com/profile_banners/2471170057/1583768932,https://www.twitter.com/YaleYoungAfrica,https://pbs.twimg.com/profile_images/1443954993963352097/VfWa5Gg5_normal.jpg,false,false
Yale Poorvu Center,PoorvuCenter,3845360541,false,2015-10-02 14:53:43,"Yale University's Poorvu Center for Teaching and Learning supports Academic Continuity for faculty, teaching fellows, and students.",643,1586,331,640,"New Haven, CT",162,https://pbs.twimg.com/profile_banners/3845360541/1700689293,https://www.twitter.com/PoorvuCenter,https://pbs.twimg.com/profile_images/1064561742653603841/FhQiLBpO_normal.jpg,false,false
Yale Faculty,YaleFaculty,3293429650,false,2015-05-21 17:35:19,"Yale faculty news, views, and resources | Faculty Development and Diversity | Office of the Provost",2647,1366,187,40,"New Haven, CT",44,https://pbs.twimg.com/profile_banners/3293429650/1523898028,https://www.twitter.com/YaleFaculty,https://pbs.twimg.com/profile_images/766718849005780992/3Gm9mctB_normal.jpg,false,false
YaleCtrResearchComp,YaleCRC,3108338495,false,2015-03-23 15:13:39,The Yale Center for Research Computing will enhance the level of computational support provided to researchers.,2721,546,302,249,"New Haven, CT",140,https://pbs.twimg.com/profile_banners/3108338495/1525455447,https://www.twitter.com/YaleCRC,https://pbs.twimg.com/profile_images/588098323615191041/aq8oYR_4_normal.png,false,false
Yale LGBTQ Resources,YaleLGBTQ,599361515,false,2012-06-04 12:14:45,"News, events and updates from the Yale University Office of LGBTQ Resources.",334,1073,244,127,"Founders Hall, 135 Prospect St, Yale University, New Haven, CT",114,https://pbs.twimg.com/profile_banners/599361515/1658433863,https://www.twitter.com/YaleLGBTQ,https://pbs.twimg.com/profile_images/1550210039197081600/7y008qzR_normal.jpg,false,false
Enviro Film Festival,Yale_EFFY,242070266,false,2011-01-23 16:39:14,"The Environmental Film Festival at @Yale: April 4-7, 2018. EFFY is the premier student-run festival for environmental films. Free & open to everyone! #EFFY2018",1476,1057,2069,760,"New Haven, CT",289,https://pbs.twimg.com/profile_banners/242070266/1475019465,https://www.twitter.com/Yale_EFFY,https://pbs.twimg.com/profile_images/780916678716628992/r41A7Fpk_normal.jpg,false,false
Yale Lux,YaleLux,3004930726,false,2015-01-29 22:59:45,A lighting and projection exhibition debuting in April 2015 celebrating the diversity of academic and artistic excellence at Yale.,93,166,45,36,"New Haven, CT",43,https://pbs.twimg.com/profile_banners/3004930726/1422595248,https://www.twitter.com/YaleLux,https://pbs.twimg.com/profile_images/561232318187044864/XpPpxTe1_normal.png,false,false
Yale Club Richmond,YaleClubRVA,2747490132,false,2014-08-19 21:09:45,"Welcome to the Yale Club of Richmond, serving the alumni, families, friends, and supporters of Yale in Central Virginia, ranging from Hampton to Keysville.",80,169,79,1,"Richmond, Virginia",10,https://pbs.twimg.com/profile_banners/2747490132/1408507164,https://www.twitter.com/YaleClubRVA,https://pbs.twimg.com/profile_images/501950233194942466/a_QTZDnm_normal.png,false,false
Cincinnati Yale Club,CincyYaleClub,296563485,false,2011-05-10 20:40:48,"Cincinnati Yale Club, founded in 1864, the oldest Yale alumni association in the country--right here in the Queen City!",54,136,26,6,"Cincinnati, OH",12,https://pbs.twimg.com/profile_banners/296563485/1424444145,https://www.twitter.com/CincyYaleClub,https://pbs.twimg.com/profile_images/1348068381/HandsomeDan_normal.jpg,false,false
